ACGS	1
SUCD4	1
3OAS60	1
GLUSD	1
AACPS4	1
ACOAD3f	1
3OAS80	1
CAt4	1
ACOAD5f	1
TDPGDH	1
AACOAT	1
LEUabc	1
GLCNt2	1
NH3t	1
L_LACD2	1
3OAS120	1
3OAS140	1
PIabc	1
LDH_L	1
METabc	1
CITt2	1
ACM6PH	1
SPMDabc	1
G3PAT120	1
FRD2	1
ACOAD4f	1
FRD3	1
PTRCabc	1
XANt2	1
GLTCOAD	1
FAS1	1
ACMAT1	1
L_LACD	1
ACOAD1f	-1
CSNt2	1
AMPTASECG	1
AKP1	1
AACPS7	1
ADH1	1
L_LACD3	1
ACOATA	1
NADH12	1
NAt3	1
ACOAD6f	1
PAPR	1
SUCD7	1
G3PAT141	1
AMMQLT8	1
PIt7	1
PGCD	1
MGt5	1
DPR	1
SO4t2	1
RNDR2	1
FRD	1
ILEabc	1
FAS2_7	1
MNabc	1
G3PAT160	1
HKM1PP	1
AACPS2	1
ACOAD7f	1
FUR4	1
ARSt1	1
ACOAD2f	1
UAGAAT	1
VALabc	1
ECOAH1	1
AACPS8	1
DM1PE	1
ALDD8x	1
3OAS100	1
JEN1	1
G5SADr	1
H2Ot	1
AOXHEXCYCL	1
ACt2r	1
FORt2	1
FE3abc	1
OMCDC	-1
QUILSYN	-1
AOBUTDs	-1
CO2t	1
FEENTERexs	1
ETOHtex	1
ACALDtex	1
D_LACt2pp	1
SO3tex	1
ATPM	1
ACALD	1
ACKr	-1
PTA	1
NTRIR2x	-1
FDH	1
ATPS4rpp	1
NO2t2	1
CYTK1	1
NDPK7	1
ACONT	1
HEPTT	-1
APTA1i	-1
CYTK2	1
DHNAOT4	1
SSALy	1
NPHS	1
MMSAD3	-1
COAt	1
FRTT	1
APATi	1
LADGMDH	-1
DAPE	1
HEM3	1
HEM4	1
PSD180	1
ADK1	1
Cuabc	1
ICDHy	1
MEAMP1	1
G3PAT180	1
DHDPS	1
HEXTT	1
UACGAMPpp	-1
UAG4E	1
AMETt2	1
ADADir	1
FMN1	1
TPI	1
IDI1	1
HEM2	1
DADNt2	1
SHCHD2	1
ADCOBAK	1
HMGCOAS	-1
ZN2abc2	1
GK2	1
GF6PTA	1
DCYTt2	1
SUCpts	1
NDPK1	1
DASYN180	1
PSSA180	1
AGDC	-1
SUCOAS	1
DTTPt	1
PTRCTA	1
ABTA	1
ALP1	1
AGP1	1
URFGTT	1
FAO11	-1
ADPDA	1
FBA	1
H2CO3D	-1
DGTPH	-1
ACGApts	1
LYSabc	1
ACBIPGT	1
PNP1	1
DIPEPabc9	1
PGPP180pp	1
RIBFLVt2	1
BHMT	1
DPMVD	1
PGSA180	1
SHCHCS	1
ERG12	1
HEMEti	1
UAG2E	-1
BPNT	1
G3PD1	-1
ADE3	1
GLT1	-1
UM3PL	1
ALAR	1
5AOPt2	1
GSNK	1
OPHHX3	1
HBZOPT	1
FAS180ACPm	1
RBZP	1
PNP	-1
HOM6	1
CBIAT	1
BAP2	1
NADPt	-1
ADOCBLS	1
DMATT	1
GLYBt2r	1
AAT2	-1
GSNt2	1
UAGCVT	1
GGTT	1
AGPAT180	1
GGTAe2	1
GND	1
ACGAMT	1
ACC1	1
PAPA180pp	1
PPTT	1
GLYK	1
OPHBDC	1
NAPRT	-1
RNMK	1
ERG8	1
METS	-1
NaKt	1
DIPEPabc14	1
NNDMBRT	1
PNP1	-1
SHCHF	-1
GLY1	-1
CDD1	1
ALAALA	1
TMPK	1
GNK	1
URIK1	1
O2t	1
GRTT	1
AMPEPAE	-1
PAPPT3	1
NDPK3	1
SUCBZL	1
ICH or Si	1
FOLt	1
UDCPDP	1
UGMDDS	1
ALAGLUE	-1
NDPK2	1
OHPHM	1
CLt3_2pp	1
